"","Time","0ugmL_SIgA","30ugmL_SIgA","300ugmL_SIgA","0ugmL_SD","30ugmL_SD","300ugmL_SD","0_lower","0_upper","30_lower","30_upper","300_lower","300_upper"
"1",2.95041666666667,0.00025,0.000750000000000001,-0.000249999999999986,0.00238047614284761,0.00346410161513775,0.00238047614284761,-0.00213047614284761,0.00263047614284761,-0.00271410161513775,0.00421410161513775,-0.0026304761428476,0.00213047614284763
"2",7.10016666666667,-0.000249999999999986,0.00175,-0.000499999999999987,0.000957427107756339,0.0051234753829798,0.000957427107756339,-0.00120742710775633,0.000707427107756353,-0.0033734753829798,0.0068734753829798,-0.00145742710775633,0.000457427107756352
"3",11.2673333333333,5e-04,0.00175,0.000250000000000014,0.0012909944487358,0.0035,0.0012909944487358,-0.000790994448735801,0.0017909944487358,-0.00174999999999999,0.00525,-0.00104099444873579,0.00154099444873582
"4",15.4175833333333,0.0015,0.0015,0.000250000000000014,0.00125830573921179,0.00298607881119481,0.00125830573921179,0.000241694260788215,0.00275830573921179,-0.00148607881119481,0.00448607881119482,-0.00100830573921177,0.0015083057392118
"5",19.5675833333333,0.00125,0.00125,0.000250000000000014,0.000816496580927721,0.00316227766016838,0.000816496580927721,0.00043350341907228,0.00206649658092772,-0.00191227766016837,0.00441227766016838,-0.000566496580927707,0.00106649658092774
"6",23.7178333333333,0.00175,0.0015,0.000500000000000014,0.00149999999999999,0.00316227766016838,0.00149999999999999,0.000250000000000007,0.00325,-0.00166227766016837,0.00466227766016838,-0.00099999999999998,0.00200000000000001
"7",27.8680833333333,0.002,0.00125,0.000750000000000015,0.00149999999999999,0.00238047614284761,0.00149999999999999,0.000500000000000007,0.0035,-0.00113047614284761,0.00363047614284761,-0.00074999999999998,0.00225000000000001
"8",32.0180833333333,0.00225,0.002,0.000500000000000014,0.00173205080756887,0.00287228132326901,0.00173205080756887,0.00051794919243113,0.00398205080756887,-0.000872281323269008,0.00487228132326901,-0.00123205080756886,0.00223205080756889
"9",36.18475,0.00225,0.00375,0.000750000000000015,0.00173205080756887,0.00316227766016838,0.00173205080756887,0.00051794919243113,0.00398205080756887,0.000587722339831627,0.00691227766016838,-0.000982050807568858,0.00248205080756889
"10",40.33475,0.00275,0.0055,0.000500000000000014,0.00141421356237309,0.00561990510002912,0.00141421356237309,0.00133578643762691,0.00416421356237309,-0.000119905100029118,0.0111199051000291,-0.000914213562373075,0.0019142135623731
"11",44.48475,0.00275,0.002,0.000750000000000015,0.00141421356237309,0.00287228132326901,0.00141421356237309,0.00133578643762691,0.00416421356237309,-0.000872281323269008,0.00487228132326901,-0.000664213562373075,0.0021642135623731
"12",48.6345,0.0025,0.00175,0.000500000000000014,0.00141421356237309,0.00287228132326901,0.00141421356237309,0.00108578643762691,0.00391421356237309,-0.00112228132326901,0.00462228132326901,-0.000914213562373075,0.0019142135623731
"13",52.78425,0.0025,0.00100000000000001,0.000250000000000014,0.000957427107756333,0.0023629078131263,0.000957427107756333,0.00154257289224367,0.00345742710775634,-0.00136290781312629,0.00336290781312631,-0.000707427107756319,0.00120742710775635
"14",56.9509166666667,0.00275,0.00175000000000002,1.38777878078145e-17,0.0012909944487358,0.00378593889720018,0.0012909944487358,0.0014590055512642,0.0040409944487358,-0.00203593889720016,0.00553593889720019,-0.00129099444873579,0.00129099444873582
"15",61.1011666666667,0.003,0.00150000000000002,0.000250000000000014,0.0012909944487358,0.00282842712474619,0.0012909944487358,0.0017090055512642,0.0042909944487358,-0.00132842712474617,0.0043284271247462,-0.00104099444873579,0.00154099444873582
"16",65.2511666666667,0.00275,0.00175000000000002,-0.000249999999999986,0.00149999999999999,0.00330403793359983,0.00149999999999999,0.00125000000000001,0.00425,-0.00155403793359982,0.00505403793359985,-0.00174999999999998,0.00125000000000001
"17",69.4014166666667,0.00325,0.00250000000000002,-0.000249999999999986,0.0012909944487358,0.00427200187265876,0.0012909944487358,0.0019590055512642,0.0045409944487358,-0.00177200187265875,0.00677200187265878,-0.00154099444873579,0.00104099444873582
"18",73.5511666666667,0.0035,0.00150000000000002,1.38777878078145e-17,0.00182574185835055,0.00282842712474619,0.00182574185835055,0.00167425814164945,0.00532574185835055,-0.00132842712474617,0.0043284271247462,-0.00182574185835054,0.00182574185835056
"19",77.7175833333333,0.00325,0.00125000000000001,-0.000499999999999987,0.00182574185835055,0.00216024689946928,0.00182574185835055,0.00142425814164945,0.00507574185835055,-0.000910246899469267,0.0034102468994693,-0.00232574185835054,0.00132574185835056
"20",81.8678333333333,0.00325,0.000750000000000015,-0.000249999999999986,0.00170782512765993,0.00189296944860009,0.00170782512765993,0.00154217487234007,0.00495782512765993,-0.00114296944860007,0.0026429694486001,-0.00195782512765992,0.00145782512765994
"21",86.0178333333333,0.00325,0.00150000000000002,1.38777878078145e-17,0.0015,0.00336650164612069,0.0015,0.00175000000000001,0.00475,-0.00186650164612067,0.0048665016461207,-0.00149999999999998,0.00150000000000001
"22",90.1678333333333,0.0035,0.00200000000000002,1.38777878078145e-17,0.00182574185835055,0.00238047614284761,0.00182574185835055,0.00167425814164945,0.00532574185835055,-0.000380476142847596,0.00438047614284763,-0.00182574185835054,0.00182574185835056
"23",94.3178333333333,0.00325,0.000750000000000015,-0.000249999999999986,0.00170782512765993,0.00125830573921179,0.00170782512765993,0.00154217487234007,0.00495782512765993,-0.000508305739211772,0.0020083057392118,-0.00195782512765992,0.00145782512765994
